epoch,loss,val_loss
0,21.36667368752616,8.411709213256836
1,8.162186513628278,7.932377651759556
2,7.771318435668945,7.695540482657297
3,7.5311548641749795,7.344876902444022
4,7.1083676065717425,6.927387578146798
5,6.9127593449183875,6.86255111694336
6,6.977279472351074,6.752158696310861
7,6.685700729915074,6.610273374829974
8,6.501420634133475,6.434695489065987
9,6.343450083051409,6.662042713165283
10,6.330915260314941,6.356872354234968
11,9.019952351706369,6.4906592914036345
12,6.45836044039045,6.625979614257813
13,6.651584815979004,6.614524963923863
14,6.457254273550851,6.399579334259033
15,6.233204187665667,6.131999465397426
16,5.994517830439976,6.00519153050014
17,5.863784612928118,5.945645441327776
18,5.832489558628628,5.960840211595808
19,5.801090567452567,5.897000762394496
0,22.87338537488665,8.557288987295967
1,8.157070296151298,7.561410794939314
2,7.386874553135463,7.123732185363769
3,6.9560115541730605,6.780849742889404
4,6.53872104372297,6.258919034685407
5,6.286421666826521,6.160576752253941
6,6.0102771895272395,5.879887730734689
7,5.8389262744358605,5.669571767534529
8,5.7173075675964355,5.642951284136091
9,5.567183726174491,5.518457521711077
10,5.442295319693429,5.3154213360377724
11,5.367832974025181,5.268144934517997
12,5.231606919424874,5.2675619942801335
13,5.208475494384766,5.005376475197928
14,5.099754878452846,4.898996816362653
15,5.03060005732945,4.890795053754534
16,4.892502239772251,4.87160211290632
17,4.957963003431048,4.811448178972516
18,4.824425574711391,4.761828994750976
19,4.754162175314767,4.640308611733573
0,21.501343154907225,8.072755132402692
1,7.87687018258231,7.535561098371233
2,7.082382896968297,6.894558702196393
3,6.627030481610979,6.506900365012033
4,6.253958742959159,6.213771765572684
5,5.987000846862793,5.9667017527988975
6,5.898860263824463,5.723108468736921
7,5.570535073961531,5.577964578356061
8,5.481658390590122,5.213314955575125
9,5.261660875592913,5.1614236014229915
10,5.172006225585937,5.08872252873012
11,5.036324691772461,4.877442114693778
12,4.943157632010323,4.932492814745221
13,4.902899333408901,4.846419593266078
14,4.774933951241629,4.796495478493827
15,4.817688655853272,4.8164480073111395
16,4.77557897567749,4.63646376473563
17,4.640870203290667,4.690456581115723
18,4.641553892408099,4.5024246488298685
19,4.5905973298209055,4.47181179864066
