epoch,loss,val_loss
0,20.619247872488838,8.215556798662458
1,7.934841482979911,7.3657926831926614
2,7.1478656360081265,6.89757011958531
3,6.87089969090053,6.882749121529716
4,6.523365552084787,6.316403457096645
5,6.182908834729876,6.105559294564383
6,5.956160340990339,6.020023454938616
7,5.828859765189034,5.778736114501953
8,5.527171584538051,5.423532104492187
9,5.457489231654576,5.393772806440081
10,5.423884786878314,5.408688681466239
11,5.250534357343401,5.094869204929897
12,5.130514894212995,5.077188982282366
13,5.095862483978271,4.939735535212925
14,5.007422201974052,4.938381794520787
15,4.942088971819197,4.871376868656704
16,4.903340571267265,4.76676276070731
17,4.881392914908273,4.737942123413086
18,4.849153218950544,4.789726815904889
19,4.777185235704694,4.690087291172572
